urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phap-che-va-tuan-thu.35B7A318.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,0,2,15,22
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-mat-bang-mien-nam.35B7C55C.html,1,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 30,25,30,2,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-dau-tu.35B7B65A.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/truong-kinh-doanh-khu-vuc-san-pham-cho-vay-tieu-dung.35B7ABAC.html,0,0,0,0,1,0,1,0,0,0,0,1,0,0,24 - 35,24,35,1,3,15,20
https://careerbuilder.vn/vi/tim-viec-lam/quy-viet-long-chuyen-vien-quan-ly-danh-muc-dau-tu.35B7B5F6.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,not_limited,not_limited,not_limited,1,2,15,20
https://careerbuilder.vn/vi/tim-viec-lam/thiet-ke-3d-gap.35B7C0FD.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,27 - 35,27,35,3,7,15,20
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-hanh-chinh.35B7C0BF.html,0,0,0,1,0,0,0,0,0,1,0,1,0,0,26 - 35,26,35,4,7,15,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tai-chinh.35B7A2D9.html,0,0,1,0,0,0,0,0,1,0,1,0,0,0,not_limited,not_limited,not_limited,3,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/truong-bo-phan-cham-soc-cu-dan.35B7BDBA.html,0,1,1,0,0,0,0,0,0,1,0,0,1,0,30 - 40,30,40,3,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/quy-viet-long-chuyen-vien-quan-ly-danh-muc-dau-tu.35B77430.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,not_limited,not_limited,not_limited,1,2,15,20
https://careerbuilder.vn/vi/tim-viec-lam/tbp-nhan-su-cty-thanh-vien.35B7B954.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,3,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phap-ly-du-an.35B7B64C.html,1,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/thiet-ke-3d-gap.35B79991.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,27 - 35,27,35,3,7,15,20
https://careerbuilder.vn/vi/tim-viec-lam/thu-ky-phap-ly-doanh-nghiep-bds.35B78599.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25 - 30,25,30,3,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-ke-hoach-tong-hop.35B78515.html,0,0,0,0,0,1,0,0,0,1,1,0,0,0,27 - 35,27,35,3,5,15,20
https://careerbuilder.vn/vi/tim-viec-lam/thiet-ke-3d-gap.35B74E55.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,27 - 35,27,35,3,7,15,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-dao-tao.35B7A49E.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,3,15,18
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-thue-khu-vuc-thu-duc.35B7BD94.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,25 - 35,25,35,2,3,15,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-tham-dinh-tin-dung.35B7BDA4.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,5,7,15,18
https://careerbuilder.vn/vi/tim-viec-lam/chi-huy-truong-cong-trinh.35B78E17.html,1,0,1,0,0,0,0,0,0,1,0,1,0,0,25 - 40,25,40,2,5,15,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tuyen-dung.35B79090.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25 - 35,25,35,2,5,15,18
https://careerbuilder.vn/vi/tim-viec-lam/php-developer.35B745BB.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,23 - 40,23,40,0,1,15,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-du-lieu.35B77329.html,0,1,0,1,0,0,1,0,0,0,1,0,0,0,22 - 30,22,30,2,5,13,26
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cai-tien.35B7B3D8.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,24 - 32,24,32,1,3,13,18
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop-co-kinh-nghiem-nganh-bds.35B74F67.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,3,13,15
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-tong-giam-doc-quan-1.35B78D9A.html,0,1,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,1,3,13,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop.35B7A40C.html,0,0,1,0,0,0,1,0,0,0,0,1,0,0,25 - 35,25,35,3,5,13,18.2
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-b2b-du-an-smarthome.35B76A37.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,1,5,12,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-b2b-du-an-smarthome.35B71A4B.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,1,5,12,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-dau-tu-ca-nhan.35B7ADB5.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,not_limited,not_limited,not_limited,1,2,12,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-kinh-doanh-fintech.35B7AECC.html,1,0,0,1,0,0,1,0,0,0,1,0,0,0,23 - 30,23,30,1,2,12,20
